c_date,expiry,spot,atm_iv,slope_up,slope_down,K_dn,K_up,iv_dn,iv_up,K_hi,K_lo,vol_hi,vol_lo,texp,scale_factor,ticker
2021-12-01,2021-12-03,164.77,0.423031965833652,-0.014670076891317049,-0.006766826278129876,162.5,165.0,0.433569207026,0.42196431584500005,167.5,162.5,0.39597189390000004,0.433569207026,0.007936507936507936,0.008908708063747479,AAPL
2021-12-01,2021-12-10,164.77,0.3583008157547441,-0.004279233937583757,-0.007379314559286309,162.5,165.0,0.33775564293,0.360382485248,170.0,157.5,0.35027779772900003,0.378280355884,0.027777777777777776,0.016666666666666666,AAPL
2021-12-01,2021-12-17,164.77,0.336981445412456,-0.007289894332015372,-0.014145563070323205,162.5,165.0,0.340997170678,0.33657456576,172.5,157.5,0.32166567952800007,0.366232942676,0.047619047619047616,0.021821789023599235,AAPL
2021-12-01,2021-12-23,164.77,0.3192143620301042,-0.009490860051122301,-0.018225105993449942,162.5,165.0,0.275689,0.323624420738,175.0,155.0,0.296526282666,0.36342556955,0.06349206349206349,0.025197631533948484,AAPL
2021-12-01,2021-12-31,164.77,0.30547722645131997,0.0027420169005604378,-0.017863251453911832,162.5,165.0,0.29836096913800003,0.30619825692799996,177.5,155.0,0.31238358301200003,0.342432079238,0.0873015873015873,0.02954684201426394,AAPL
2021-12-02,2021-12-03,163.76,0.37518801283803205,-0.0045898349187769374,-0.004554931247372342,162.5,165.0,0.38077298438,0.369691691638,165.0,162.5,0.369691691638,0.38077298438,0.003968253968253968,0.006299407883487121,AAPL
2021-12-02,2021-12-10,163.76,0.312726023491008,-0.004292328943551862,-0.016375569486618266,162.5,165.0,0.31271579997599996,0.31273608472799996,170.0,157.5,0.302323264192,0.354090135631,0.023809523809523808,0.015430334996209192,AAPL
2021-12-02,2021-12-17,163.76,0.31161528432912006,-0.004222313311755009,-0.013437468456312981,162.5,165.0,0.31912100679,0.30422870032000005,172.5,157.5,0.301107323823,0.33668353536,0.04365079365079365,0.020892772350933623,AAPL
2021-12-02,2021-12-23,163.76,0.293112957868056,-0.0036218276612303723,-0.021305913363106978,162.5,165.0,0.29764817937,0.288649724009,172.5,155.0,0.28539421684800004,0.341123261006,0.05952380952380952,0.02439750182371333,AAPL
2021-12-02,2021-12-31,163.76,0.28552233350340006,-0.005717580807997405,-0.021731221181098454,162.5,165.0,0.288414,0.282676566475,175.0,155.0,0.27237412553199997,0.326908424248,0.08333333333333333,0.028867513459481287,AAPL
2021-12-03,2021-12-10,161.84,0.351370889708408,-0.013280161034192347,-0.017373584472860255,160.0,162.5,0.35817983605500003,0.34892855025799996,167.5,155.0,0.318962062327,0.404632988085,0.01984126984126984,0.014085904245475275,AAPL
2021-12-03,2021-12-17,161.84,0.334813376403352,-0.01151210513521726,-0.020921771951710674,160.0,162.5,0.346447556319,0.330640246651,170.0,152.5,0.30638618222499997,0.397244882817,0.03968253968253968,0.019920476822239894,AAPL
2021-12-03,2021-12-23,161.84,0.322132140125136,-0.014516010323703058,-0.03691867862940865,160.0,162.5,0.32684841449,0.320440433016,170.0,152.5,0.29183773008,0.415240243696,0.05555555555555555,0.023570226039551584,AAPL
2021-12-03,2021-12-31,161.84,0.31323870360569595,-0.012744103892393482,-0.02143443999119745,160.0,162.5,0.32426621388,0.309283183616,172.5,150.0,0.28438240212800003,0.371042466542,0.07936507936507936,0.02817180849095055,AAPL
2021-12-01,2021-12-03,164.77,0.423031965833652,-0.014670076891317049,-0.006766826278129876,162.5,165.0,0.433569207026,0.42196431584500005,167.5,162.5,0.39597189390000004,0.433569207026,0.007936507936507936,0.008908708063747479,AAPL
2021-12-01,2021-12-10,164.77,0.3583008157547441,-0.004279233937583757,-0.007379314559286309,162.5,165.0,0.33775564293,0.360382485248,170.0,157.5,0.35027779772900003,0.378280355884,0.027777777777777776,0.016666666666666666,AAPL
2021-12-01,2021-12-17,164.77,0.336981445412456,-0.007289894332015372,-0.014145563070323205,162.5,165.0,0.340997170678,0.33657456576,172.5,157.5,0.32166567952800007,0.366232942676,0.047619047619047616,0.021821789023599235,AAPL
2021-12-01,2021-12-23,164.77,0.3192143620301042,-0.009490860051122301,-0.018225105993449942,162.5,165.0,0.275689,0.323624420738,175.0,155.0,0.296526282666,0.36342556955,0.06349206349206349,0.025197631533948484,AAPL
2021-12-01,2021-12-31,164.77,0.30547722645131997,0.0027420169005604378,-0.017863251453911832,162.5,165.0,0.29836096913800003,0.30619825692799996,177.5,155.0,0.31238358301200003,0.342432079238,0.0873015873015873,0.02954684201426394,AAPL
